0,0,
1,731,
2,1270,
3,1590,
4,6956,
5,7371,
6,7371,
7,7371,
8,7371,
9,7678,
10,8306,
11,8306,
12,8942,
13,8942,
14,8942,
15,8942,
16,9571,
17,9571,
18,9580,
19,9580,
20,9580,
21,9580,
22,9580,
23,9580,
24,9580,
25,9580,
26,9580,
27,9580,
28,9580,
29,9775,
30,9775,
31,9775,
32,9775,
33,9775,
34,9775,
35,9775,
36,9775,
37,9775,
38,9775,
39,9775,
40,9775,
41,9775,
42,9775,
43,9775,
44,9775,
45,9775,
46,9775,
47,9775,
48,9775,
49,9775,
50,9775,
51,9775,
52,9775,
53,9775,
54,9775,
55,9775,
56,9775,
57,9775,
58,9775,
59,9775,
60,9775,
61,9775,
62,9775,
63,9775,
64,9775,
65,9775,
66,9775,
67,9775,
68,9775,
69,9775,
70,9775,
71,9775,
72,9775,
73,9775,
74,9775,
75,9775,
76,9775,
77,9775,
78,9775,
